,ITT_0_10,ITT_10_20,ITT_20_30,ITT_30_40,ITT_40_50,ITT_50_60,ITT_60_70,IWS_0_10,IWS_10_20,IWS_20_30,IWS_30_40,IWS_40_50,IWS_50_60,IWS_60_70,IWS_70_80,IWS_80_90,IWS_90_100,STT_0_10,STT_10_20,STT_20_30,STT_30_40,STT_40_50,STT_50_60,STT_60_70,STT_70_80,STT_80_90,SWS_0_10,SWS_10_20,SWS_20_30,SWS_30_40,SWS_40_50,SWS_50_60,SWS_60_70,TTT_0_10,TTT_10_20,TTT_20_30,TTT_30_40,TTT_40_50,TTT_50_60,TTT_60_70,TTT_70_80,TTT_80_90,TWS_0_10,TWS_10_20,TWS_20_30,TWS_30_40,TWS_40_50,TWS_50_60,TWS_60_70,TWS_70_80,TWS_80_90
50dd1960954ec4ada7730e01c11b8aaf,0,0,0,0,0,0,0,6,359,732,896,583,531,311,102,43,225,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,36,0,0,0,0,0,0,0,0,0,11,367,574,827,522,34,0,42,23
556d2892f2a8b8847a3247fcb0841b53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5171,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
80c8ce7e33216db7ee92a9e5440ef07d,0,0,257,171,631,503,84,0,0,0,33,59,55,109,135,303,242,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,320,1116,147,49,0,4,24,87,201,947,464,45,41
c0c9a95b84971b697b78aa5611217b5f,0,0,0,23,24,40,314,0,0,0,0,0,0,0,6,1469,861,0,0,0,0,0,0,11,45,60,0,0,0,2,58,8,10,0,0,4,8,1052,187,337,637,1036,0,0,0,0,0,0,31,0,5
6a5199f36565fddcec40c197ffa97dfe,0,44,1113,1163,62,39,222,0,0,0,0,13,0,0,0,0,0,53,180,119,382,221,95,115,80,19,0,58,28,102,30,0,0,0,23,95,244,636,136,106,256,96,0,0,0,0,0,10,11,0,0
9d908fd1ece484a46d79aff0ec86596c,0,0,0,0,0,0,0,71,797,917,1119,98,168,65,19,16,248,0,21,2,21,10,6,8,0,0,0,0,36,0,0,0,3,0,0,0,0,0,0,0,0,0,40,571,469,474,333,17,0,28,6
df5e86acd9c690a8cecde8ebf6b8d790,0,0,104,163,144,125,108,3,16,63,151,266,262,582,492,624,316,0,0,0,20,1,17,16,0,0,0,0,0,5,96,0,5,0,0,1,4,250,200,203,49,49,0,22,19,38,109,752,771,197,40
157a7c6518a3b3e70daf62add4531002,896,1519,18,26,0,0,66,154,29,4,0,9,10,0,0,0,46,0,0,0,0,0,0,0,0,0,366,0,0,16,0,0,9,1262,873,161,63,18,32,19,40,19,8,1,0,0,0,0,0,0,0
cff4c62680aa93f88908d730450371a2,0,0,82,150,64,0,16,0,173,253,169,236,260,365,415,104,172,0,0,0,0,0,0,0,0,0,0,0,0,14,95,231,178,0,0,0,0,151,308,487,125,0,22,73,179,126,83,367,342,242,278
ab52dbacef166ea6bd9ac77895a25a3b,0,0,139,218,643,738,380,0,0,2,0,0,0,7,35,0,7,0,0,0,0,0,1,0,19,0,0,0,0,0,3,7,21,0,0,0,2,59,597,1134,645,88,0,2,47,0,0,31,0,10,6
24833f67b5a7c6a793e2df5adb6189d7,0,0,91,113,40,6,0,15,313,381,357,648,860,597,284,88,256,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,30,0,0,0,0,53,5,12,13,0,0,272,196,349,274,200,0,55,56
1bf28b748e78c1e80fc6df716c119bf6,0,0,339,161,20,8,24,160,240,345,190,104,110,120,55,8,92,10,0,21,643,331,138,221,103,7,0,0,75,44,19,0,0,0,0,180,312,95,34,37,89,23,114,301,104,102,106,109,68,22,19
b24eadbd3cebbeb1207bd8d59f7dd575,0,0,157,282,334,129,146,0,0,0,0,97,116,226,319,51,91,0,0,0,0,14,0,12,21,14,0,0,0,60,395,266,234,0,0,0,0,460,133,80,134,238,0,0,0,72,124,168,333,286,168
d7268d8f892cc65c679ac5016c1537e9,0,0,602,611,158,145,173,0,21,87,169,114,212,139,248,28,133,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,13,48,41,180,290,264,70,0,19,94,184,174,152,418,204,111
ffa5ecef6f08edb5e512abe6f7b4c507,0,0,36,52,2,1,0,0,264,265,371,811,842,763,580,142,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,3,0,18,0,40,56,128,250,353,61,0,27,0
a9fb6d7ceb06f2903fd533ba5d73871d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,16,1983,2011,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4431b21d2f7af75ab2225ff7e76adf90,0,0,40,30,34,11,0,129,423,319,479,388,470,283,209,108,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,76,23,32,20,12,49,31,13,13,86,0,310,710
c9a2743971d12764732ddc336e25cac8,0,0,123,574,12,8,33,140,498,294,198,377,468,143,48,83,371,0,0,0,0,0,0,0,0,0,0,0,26,12,0,0,0,0,0,24,23,117,30,15,67,20,126,137,58,69,130,69,14,146,204
7f99202b399e42619c16752d780694ba,0,0,7,0,0,16,50,0,37,64,38,109,294,407,700,120,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,185,249,172,25,0,0,105,205,262,293,772,379,418
8bd4280b30462ac9d211c0f60419991e,0,0,0,0,0,0,0,0,320,255,429,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1004,1061,1112,319,0,0,0,0
c91713f3861c3e1566db945ceec9b855,0,0,0,0,0,0,0,64,576,561,488,91,113,63,30,22,161,0,0,0,0,0,0,0,0,0,0,0,9,0,19,56,40,0,0,0,0,0,0,0,0,0,39,700,853,374,86,111,32,66,38
96d66659c88d4a5cada662905c0de09f,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,42,45,108,0,0,0,0,1651,836,661,0,0,0,0,0,236,263,182,0,0,0,0,0,0,319,67,83,141
097d4ba5912d85d174b0b771ca4597a8,0,0,0,0,0,0,0,0,257,554,502,202,478,162,84,76,534,0,0,0,0,0,0,18,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,281,281,531,332,53,53,97,50
003d0470f23082c7bf6de11e71a56898,0,13,341,267,16,23,91,157,0,0,0,0,0,0,0,0,40,120,110,18,199,239,550,336,83,0,0,70,167,289,0,24,0,17,39,388,740,71,30,0,95,43,216,15,0,0,0,0,0,0,0
d2e63a52e089bcc7cfa1cba552dd7a4a,0,0,0,0,156,619,1722,0,0,0,0,0,0,0,16,45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,242,807,0,0,0,0,0,0,0,0,0
77e3a94a02aa78e6c89eb44f9fd0c37c,0,97,215,837,19,35,96,14,0,0,0,122,78,26,15,23,72,0,0,0,48,165,32,107,35,21,0,0,184,141,0,0,16,24,36,691,383,362,112,102,315,67,0,0,0,0,0,0,0,0,0
ca0e422ee54be6c4e596222d81cfc582,0,0,147,80,101,34,0,0,0,23,103,134,124,231,388,92,88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,61,0,38,45,0,0,0,42,0,137,1657,2362,84,148
cd0ef86deffe10bac475674f01137888,0,0,669,277,315,419,427,0,0,0,0,6,0,68,183,13,9,0,0,0,0,7,15,12,11,12,0,0,0,0,62,14,27,0,0,0,11,315,237,126,146,131,0,0,0,42,125,154,221,0,7
a235fc54b0eee76ca8bdb42143d79192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0739a7403f8d272bd84c838e0b14ddd,1329,403,21,0,32,42,199,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,789,566,53,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d53d07a2555d51af3ba0ba60ca60252,0,0,0,28,2213,514,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,37,0,0,0,0,0,19,0,0,0,0,0,0,0,93,131,86,0,0,0,0,0,0,0,0,0,0
276f66ffcb14a11b0231f05a00d7ba21,0,0,0,0,63,349,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1003,1506,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2f1a273583013bd8c359dddcb6af4706,0,0,0,0,0,0,0,0,90,279,157,163,136,131,183,28,105,0,0,0,0,0,0,0,0,0,0,0,0,4,248,238,307,0,0,0,0,0,19,40,52,195,5,57,161,104,27,280,266,547,472
58572d8282727048ae73cfc4b6eb4a12,0,0,0,0,329,396,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,9,0,0,20,603,1592,646,10,0,0,0,0,80,0,0,0,0
92e19c109e3e238807d3812975db182a,0,0,0,0,0,0,0,0,0,0,0,40,92,82,209,56,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,218,407,575,1327,1029
1ae50f4f9bbc8870aa2c71ed305bd0a4,0,0,73,126,1114,300,71,0,0,0,0,0,0,81,223,0,12,0,0,0,41,9,74,33,0,0,0,0,0,9,26,0,33,0,0,0,0,178,109,0,39,27,0,0,0,0,139,544,524,27,15
086ab03b23027be6f3455d09f72bc4a5,0,0,15,24,531,717,386,0,0,0,0,0,0,7,39,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,239,477,372,388,0,0,0,0,0,0,234,0,0
793fbd33f01a34f22aeadc3548669a6d,0,0,0,0,0,0,0,250,831,553,258,16,69,53,26,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,847,230,33,0,17,0,0,12
bdfb970b8e1ecedffb9c0d90755ffa0d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,693,528,1161,528,301,303,212,28,0,61,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
