ASV,ITT,IWS,STT,SWS,TTT,TWS
bbd055a9a9f18de3b03ac1c42d51a959,0,0,1702,30,0,0
2367d2aa6f1a39fca14023bab70e0cc9,0,793,0,0,0,789
a834cea63ff560fae27ac1690069cb9e,130,0,1082,581,0,59
f08dd6bf480c31c71a9dccc70470d636,0,0,1762,0,0,0
ff98f6ca45bd879d5390e344ddc86d80,292,8,89,0,1297,27
9b59c6cc7c6638b7b9380ff51dbb4f11,320,527,140,100,369,58
a738568b261166a672bdd2c51055fff7,466,380,62,46,268,277
1ec12548cafe627d1212ffa9f9ef24c3,263,0,560,16,681,92
c5556b3e7e3c1121f6215bfa1c953c06,0,0,0,497,0,1032
12dde328dbb2147e1a111690419e1a35,230,583,0,732,0,0
3d23c97e395185efe9ae1366d4a2aebe,0,0,1451,392,0,0
50ef5b309c4d614693256417911c09d9,0,0,646,1340,0,26
6351ed6a2af975d4dcb320878d6a0335,0,51,0,92,0,1329
f29b0b5f9317aa402c9d79dbfee65b67,0,0,782,104,876,0
6bcffe8a5b5d03b79b358ab36814e3aa,406,0,0,90,1072,0
c3b19c0e975bce9637bbb06aae588fa1,0,1608,0,0,0,0
3da13822a4e59d2d70a6ec427c82e650,506,80,14,115,800,0
461732bb48e83eef4c02ecbd6bd39324,0,0,1383,291,0,0
c29f92a9755d2972dee98de4e221979d,192,580,86,102,286,328
7c7c7761ed1d350dd250d3bf1f131073,0,0,1038,474,0,191
db61f80fb902cf8207df8ff5e578f454,0,909,0,0,0,511
d9d4867e2ecce2f6eca7249dcb8a805f,0,449,0,0,0,985
729a8573d758db744a085830a8f832c8,0,255,0,0,0,1218
662cc320ec9f822b0b28ef468f4af175,13,0,0,0,1585,0
df14626331626750aaa1416f58044b80,75,837,0,106,2,618
82a260faafef55efd1b8176ecb781ecf,257,266,0,23,501,360
d4d6b6a5d229ad2710d7ea66b484ea25,0,1234,0,0,0,182
67cc3b6cc098c2e16175c3aeee30f1e6,0,0,0,100,0,1482
6e40c0d549ca3fabe42f6e8730141e44,403,138,0,0,0,756
28619fdca566f3c7dbb679b8d2ec7166,314,58,0,409,754,0
dd006a5dd8d1504bce26c72c3f51cfb4,262,680,0,14,370,52
2d84f3a81b6136689b593781558df34b,195,0,662,68,607,0
b7e172755b2d967a61cf6fc6ebd5b2b7,0,1312,0,0,0,65
cd81cf2e9cf49ed204a338825c537fb3,398,236,0,220,618,9
40fa96a2f7fc7b939f5eb0d52d7e5b3c,48,74,732,792,17,57
87f427b1563018d8a3d53ffb793107e8,0,840,0,57,0,500
5bc5a9f8ca7c66e23c1b0dcd7da2d8ee,0,1157,0,0,0,449
5adda5e726ced0325e132c974ff5d6a1,255,902,0,0,98,139
e997601b17fd31d3d6a1107b1f721641,0,761,0,0,680,0
734ce19295cf355895d5f619e292bb89,427,78,257,0,527,54
c031c429f3ff27eee5d12129919ef877,0,1389,0,0,0,153
7dd6bcd8968a583ae728f34c989d076c,0,0,1567,45,0,48
b71bf2a5e0b0256df394ba6f20181167,656,130,0,3,598,0
eca52ac41332df7c692a712c3591a78a,0,0,1410,104,0,0
bb2d1c68251443a48328593bf6d9d024,796,21,0,0,439,0
32935146e1792f6b87dee4909e73bca0,0,0,1284,467,0,48
7acb0d88a03360f9952e8eeed82bdfae,0,803,0,0,0,535
9300378e43d66ab48e99251cace6b93f,51,1303,0,0,0,108
362ac32cd5667b9f27ec12e114bfc020,683,10,0,77,502,0
cc4fa9a30fb72ffe2170c798191b1aba,524,4,9,248,536,0
0f700b983207ec336ed4b4679028b514,0,12,321,325,0,911
6597a3583a1e81165215d4b3d1f10587,0,610,0,47,0,726
a065439977a3a3940569f5da0f8530ff,0,1417,0,0,0,0
b39be459cc96689db8cd6b00a0d86e8e,200,81,118,0,1041,0
a379f1b32eda97422d616e96547ff1ae,134,0,0,0,1287,0
0f86cfd3af26721eb03130d4455dc0a5,0,1114,0,0,0,260
dba6c34a79b5e007c22681ae3e5bd401,0,0,1419,0,0,0
fa67e0725395e99d85af04956443c07d,0,0,1095,537,0,55
b094eab58498cdb3e48cb4c9b303ae7d,0,308,63,104,444,520
2d66d59115e5f8c6d716f72f4fc26f23,178,36,394,613,209,48
e74fe1e13a5cc209e582e08f09205fe6,117,769,14,0,55,394
a89ee934601c518ea49849ad16a0ba9f,1093,0,0,0,29,0
8d68c9de2ae98363952cba62d0b71e72,0,0,1160,410,0,0
deebf0bc2de39caf8735e70ecacb02dd,665,466,0,35,16,223
197a79aa37d7a8a54336e298a14e14b0,5,1296,0,9,0,59
fe995cbf89cb3bd370246bc3c9f6ae5a,1,226,343,480,41,365
bb4eef77dab1c136fca8675401d3fd3a,43,0,1168,0,149,0
08246da8ff60929e5404fc7128d93f05,387,0,97,126,697,0
51f58b9d5a4aee180fa524937fe65099,446,396,0,0,0,432
a751c2d8983bcfe747f19292ec58f268,23,741,0,0,3,474
8aabb69b88cad6878d11d9afab0a24f5,6,0,1380,7,0,0
8c5bb7f485e99f28c6c5c0bf440c226c,0,0,1690,136,0,0
324318137c85c7ec48ced5c838964657,0,0,0,1803,0,14
c9dac1b01afbcbb851165547387c3f11,0,4,1198,83,0,115
3ca0b904a3e3611a245e7d19166e0365,0,298,0,3,0,938
3db4d3c56a80cbf777372bdf1e8346e6,0,965,0,0,25,251
5e64cc5a9d5168e1ec610f04bea4fc78,0,116,0,0,0,1258
f9e864a4b56320d9a9d165537511a13a,48,5,548,443,54,262
178655c2320c218b5a16c1d9d08cc56b,0,722,0,0,0,483
a09442ccc8c1ceb8e7756cf0e8f1eb96,419,126,0,481,14,144
605e790dd5251d869e362ea402816710,596,0,0,0,593,0
